file,line,issue,severity,snippet
ai_trading/analysis/sentiment.py,76,eval_exec,high,")
        _FINBERT_MODEL.eval()
        _HUGGINGFACE_AVAILABLE = True"
ai_trading/core/bot_engine.py,1648,eval_exec,high,")
        _FINBERT_MODEL.eval()
        _HUGGINGFACE_AVAILABLE = True"
tests/test_bot_engine.py,4,eval_exec,high,"# AI-AGENT-REF: Replaced unsafe exec() with direct import from shim module
from ai_trading.bot_engine import prepare_indicators"
tests/test_bot_engine_edge_cases.py,5,eval_exec,high,"# AI-AGENT-REF: Replaced unsafe exec() with direct import from shim module
from ai_trading.bot_engine import prepare_indicators"
tests/test_bot_engine_unit.py,8,eval_exec,high,"# AI-AGENT-REF: Replaced unsafe exec() with proper imports from core module
from ai_trading.core.bot_engine import ("
tests/test_coverage_hack.py,16,eval_exec,high,"lines = len(path.read_text().splitlines())
            # AI-AGENT-REF: Replaced exec() with safe compile test for coverage
            dummy = ""\n"".join(""pass"" for _ in range(lines))"
tests/test_data_fetcher.py,238,eval_exec,high,"# AI-AGENT-REF: Replaced unsafe exec() with direct import from core module
from ai_trading.core.bot_engine import fetch_minute_df_safe"
tests/test_metrics_logger_smoke.py,13,eval_exec,high,"def force_coverage(mod):
    # AI-AGENT-REF: Replaced exec() with safe compile test for coverage
    lines = Path(mod.__file__).read_text().splitlines()"
tests/test_ml_model_loading.py,9,eval_exec,high,"# AI-AGENT-REF: Replaced unsafe exec() with direct imports from core module
from ai_trading.core.bot_engine import _load_ml_model, _cleanup_ml_model_cache"
tests/test_pipeline_smoke.py,12,eval_exec,high,"def force_coverage(mod):
    # AI-AGENT-REF: Replaced exec() with safe compile test for coverage
    lines = Path(mod.__file__).read_text().splitlines()"
tests/test_predict_smoke.py,26,eval_exec,high,"def force_coverage(mod):
    # AI-AGENT-REF: Replaced exec() with safe compile test for coverage
    lines = Path(mod.__file__).read_text().splitlines()"
tests/test_retrain_smoke.py,84,eval_exec,high,"def force_coverage(mod):
    # AI-AGENT-REF: Replaced exec() with safe compile test for coverage
    lines = Path(mod.__file__).read_text().splitlines()"
tests/test_strategy_allocator_smoke.py,11,eval_exec,high,"def force_coverage(mod):
    # AI-AGENT-REF: Replaced exec() with safe compile test for coverage
    lines = Path(mod.__file__).read_text().splitlines()"
tests/test_trade_execution_smoke.py,11,eval_exec,high,"def force_coverage(mod):
    # AI-AGENT-REF: Replaced exec() with safe compile test for coverage
    lines = Path(mod.__file__).read_text().splitlines()"
tests/test_features.py,16,hardcoded_secret,high,"validate_stub.settings = types.SimpleNamespace(
    ALPACA_API_KEY=""k"",
    ALPACA_SECRET_KEY=""s"","
tests/test_features.py,19,hardcoded_secret,high,"ALPACA_BASE_URL=""http://example.com"",
    WEBHOOK_SECRET=""w"",
)"
tests/test_problem_statement_validation.py,155,hardcoded_secret,high,"# Should have key placeholders
    assert 'ALPACA_API_KEY=' in content, ""Should have Alpaca API key placeholder""
    assert 'ALPACA_SECRET_KEY=' in content, ""Should have Alpaca secret placeholder"""
tests/test_problem_statement_validation.py,160,hardcoded_secret,high,"# Should not contain real secrets
    assert len([line for line in content.split('\n') if line.startswith('ALPACA_API_KEY=') and 'your_' not in line]) == 0, ""Should not contain real API keys"""
tests/test_talib_enforcement.py,60,hardcoded_secret,high,"TRADE_AUDIT_DIR = str(tmp_path / ""audit"")
        NEWS_API_KEY = ""test_news_api_key"""
tests/test_talib_enforcement.py,137,hardcoded_secret,high,"TRADE_AUDIT_DIR = str(tmp_path)
        NEWS_API_KEY = ""test_news_api_key"""
tests/test_trigger_meta_learning_conversion.py,61,hardcoded_secret,high,"SCHEDULER_SLEEP_SECONDS = 30.0
    NEWS_API_KEY = ""test_news_api_key""
    TESTING = True"
tools/codemods/codemod_logging_time.py,2,datetime_naive_now,medium,"#!/usr/bin/env python3
""""""Codemod script to replace print() with logging and make datetime.now() timezone-aware."""""""
tools/codemods/codemod_logging_time.py,62,datetime_naive_now,medium,"def replace_datetime_now(content: str) -> str:
    """"""Replace naive datetime.now() with timezone-aware version.""""""
    # Replace datetime.now() with datetime.now(datetime.timezone.utc)"
tools/codemods/codemod_logging_time.py,63,datetime_naive_now,medium,"""""""Replace naive datetime.now() with timezone-aware version.""""""
    # Replace datetime.now() with datetime.now(datetime.timezone.utc)
    content = re.sub("
