file,line,marker,snippet
tools/migrate_metrics_logger.py,11,root_metrics_logger,    # 1) from metrics_logger import X → from ai_trading.telemetry.metrics_logger import X
tools/migrate_metrics_logger.py,18,root_metrics_logger,    # 2) import metrics_logger → from ai_trading.telemetry import metrics_logger
tools/migrate_metrics_logger.py,18,root_metrics_logger,    # 2) import metrics_logger → from ai_trading.telemetry import metrics_logger
tools/migrate_metrics_logger.py,22,root_metrics_logger,"        r""\1from ai_trading.telemetry import metrics_logger\2"","
ai_trading/imports_old.py,204,mock_class,    from datetime import datetime
ai_trading/imports_old.py,265,mock_class,            return self.data
ai_trading/imports_old.py,288,mock_class,            )
ai_trading/imports_old.py,386,mock_class,            ]
ai_trading/imports_old.py,521,mock_class,    # Mock sklearn module
ai_trading/imports_old.py,583,mock_class,if not TA_AVAILABLE and not PANDAS_TA_AVAILABLE and not TALIB_AVAILABLE:
ai_trading/logging.py,33,root_metrics_logger,"    """"""Lazy import metrics_logger to avoid import-time dependencies."""""""
ai_trading/meta_learning.py,1701,import_guard_block,    try:
ai_trading/meta_learning.py,17,root_metrics_logger,from ai_trading.telemetry import metrics_logger
tests/test_retry_idempotency_integration.py,10,mock_class,"from tenacity import retry, stop_after_attempt, wait_exponential"
tests/test_bot_engine.py,4,raw_exec,# AI-AGENT-REF: Replaced unsafe exec() with direct import from shim module
tests/conftest.py,6,mock_class,# AI-AGENT-REF: Mock yfinance module for deterministic tests
tests/conftest.py,1448,mock_class,"        if not hasattr(config, 'TradingConfig'):"
tests/conftest.py,1519,mock_class,"        if not hasattr(trade_execution, 'ExecutionEngine'):"
tests/conftest.py,23,config_dunder_getattr,"    def __getattr__(self, name):"
tests/conftest.py,125,config_dunder_getattr,"        def __getattr__(self, name):"
tests/conftest.py,219,config_dunder_getattr,"        def __getattr__(self, name):"
tests/conftest.py,407,config_dunder_getattr,"        def __getattr__(self, name):"
tests/conftest.py,587,config_dunder_getattr,"        def __getattr__(self, name):"
tests/conftest.py,692,config_dunder_getattr,"        def __getattr__(self, name):"
tests/conftest.py,1033,config_dunder_getattr,"        def __getattr__(self, name):"
tests/conftest.py,1085,config_dunder_getattr,"        def __getattr__(self, name):"
tests/conftest.py,1115,config_dunder_getattr,"        def __getattr__(self, name):"
tests/conftest.py,1189,config_dunder_getattr,"        def __getattr__(self, name):"
tests/conftest.py,1291,config_dunder_getattr,"        def __getattr__(self, name):"
