file,line,marker,snippet
ai_trading/signals.py,36,mock_class,        from datetime import datetime
ai_trading/signals.py,46,mock_class,                return True
ai_trading/signals.py,50,mock_class,                pass
ai_trading/imports.py,37,mock_class,"    logger.warning(""NumPy not available, using MockNumpy fallback"")"
ai_trading/imports.py,203,mock_class,    from datetime import datetime
ai_trading/imports.py,264,mock_class,            return self.data
ai_trading/imports.py,287,mock_class,            )
ai_trading/imports.py,385,mock_class,            ]
ai_trading/imports.py,520,mock_class,    # Mock sklearn module
ai_trading/imports.py,582,mock_class,if not TA_AVAILABLE and not PANDAS_TA_AVAILABLE and not TALIB_AVAILABLE:
ai_trading/meta_learning.py,27,mock_class,    # Mock metrics_logger for testing
ai_trading/data_fetcher.py,210,mock_class,    from datetime import datetime
ai_trading/data_fetcher.py,244,mock_class,            pass
tests/test_retry_idempotency_integration.py,10,mock_class,"from tenacity import retry, stop_after_attempt, wait_exponential"
tests/conftest.py,6,mock_class,# AI-AGENT-REF: Mock yfinance module for deterministic tests
tests/conftest.py,1448,mock_class,"        if not hasattr(config, 'TradingConfig'):"
tests/conftest.py,1519,mock_class,"        if not hasattr(trade_execution, 'ExecutionEngine'):"
tests/test_alpaca_import_handling.py,45,mock_class,                # Mock classes should be created
tests/test_alpaca_import_handling.py,97,mock_class,        # Test mock trading client
tests/test_alpaca_import_handling.py,105,mock_class,        # Test mock enums
tests/test_kelly_confidence_fix.py,17,mock_class,    # Mock BotContext for testing
tests/test_kelly_confidence_fix.py,23,mock_class,            # Mock capital scaler
tests/test_kelly_confidence_fix.py,82,mock_class,    # Mock BotContext for testing
tests/test_kelly_confidence_fix.py,86,mock_class,            self.max_position_dollars = 10000
tests/test_portfolio_integration.py,13,mock_class,from ai_trading.signals import filter_signals_with_portfolio_optimization
tests/test_portfolio_integration.py,21,mock_class,        self.quantity = quantity
tests/test_portfolio_integration.py,32,mock_class,        self.data_fetcher = MockDataFetcher()
tests/test_portfolio_integration.py,47,mock_class,        # Create a simple mock DataFrame-like object
tests/test_portfolio_integration.py,71,mock_class,                return self.data['close']
tests/test_trigger_meta_learning_conversion.py,53,mock_class,        }
tests/test_parameter_optimization.py,121,mock_class,        # Mock order manager for testing
tests/test_position_intelligence.py,41,mock_class,        # Test RSI calculation with mock data
tests/test_position_intelligence.py,55,mock_class,                return MockIloc(self.data)
tests/test_position_intelligence.py,69,mock_class,                return MockSeries(result)
tests/test_talib_enforcement.py,56,mock_class,    # Create mock config module
tests/test_talib_enforcement.py,132,mock_class,"    trade_log_path = tmp_path / ""trades.csv"""
tests/mocks.py,6,mock_class,""""""""
tests/mocks.py,19,mock_class,        return {'status': 'filled'}
tests/mocks.py,26,mock_class,        pass
tests/mocks.py,33,mock_class,        pass
tests/mocks.py,40,mock_class,        pass
tests/mocks.py,50,mock_class,        pass
tests/mocks.py,59,mock_class,        pass
tests/mocks.py,69,mock_class,        pass
tests/mocks.py,79,mock_class,        pass
tests/mocks.py,86,mock_class,        pass
tests/test_intelligent_position_management.py,44,mock_class,@dataclass
tests/test_critical_fixes_validation.py,17,mock_class,        # AI-AGENT-REF: Use environment variables to avoid hardcoded secrets
tests/test_critical_fixes_implementation.py,250,mock_class,    # Mock implementation
tests/test_additional_coverage.py,84,mock_class,    # AI-AGENT-REF: Mock the config object directly to ensure environment validation passes
tests/test_fill_rate_calculation_fix.py,16,mock_class,from ai_trading import ExecutionEngine
tests/test_fill_rate_calculation_fix.py,26,mock_class,"        self.symbol = ""TEST"""
tests/test_alpaca_contract.py,2,mock_class,import alpaca_api
tests/test_critical_fixes_focused.py,44,mock_class,        # Create mock signal with out-of-range confidence
tests/test_critical_fixes_focused.py,89,mock_class,        # Create a mock context
